17:41:17.326 block44.bin: 619.91;4;43;0;1;74.00;-2.40;0;113;0;40;53;100.50;172.50;172.00;57;2217;126;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:17.375 block45.bin: 619.93;4;34;0;1;92.00;-10.00;0;113;0;40;53;100.60;173.10;172.50;57;1776;125;0;0;0;0;0;0;1;0;0;0;1;0;
17:41:17.433 block46.bin: 619.95;4;28;0;1;26.00;1.50;0;113;6;40;53;100.70;173.10;172.60;57;1471;126;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:17.499 block47.bin: 619.96;4;29;0;1;37.00;7.60;0;113;9;40;53;100.50;172.40;172.10;57;1502;126;0;0;0;0;0;0;1;0;0;0;1;0;
17:41:17.550 block48.bin: 619.98;4;31;0;1;113.00;24.70;0;113;29;40;53;100.40;172.10;171.80;57;1638;125;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:17.617 block49.bin: 620.00;4;38;0;1;171.00;47.30;0;113;99;40;53;100.00;171.00;170.00;57;1978;126;0;0;0;0;0;0;1;0;0;0;1;0;
17:41:17.647 block50.bin: 620.03;4;47;0;1;161.00;50.90;0;113;82;40;53;99.80;169.90;168.60;56;2438;127;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:17.711 block51.bin: 620.05;4;53;0;1;153.00;52.50;0;113;62;41;53;99.70;169.60;168.40;56;2743;127;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:17.777 block52.bin: 620.08;4;57;0;1;124.00;46.60;0;113;38;41;53;99.70;169.40;168.10;56;2967;127;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:17.809 block53.bin: 620.12;4;60;0;1;95.00;32.60;0;113;29;41;54;99.80;169.50;168.20;56;3120;127;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:17.871 block54.bin: 620.15;4;60;0;1;108.00;42.00;0;113;31;40;54;100.10;170.70;170.20;56;3094;127;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:17.938 block55.bin: 620.18;4;60;0;1;53.00;20.50;0;113;16;40;54;100.00;170.70;170.10;56;3085;128;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:17.990 block56.bin: 620.22;4;58;0;1;42.00;13.40;0;113;13;40;54;100.20;171.20;170.80;56;3031;127;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:18.045 block57.bin: 620.25;4;54;0;1;16.50;-10.10;0;113;9;40;54;100.50;172.00;171.60;56;2785;127;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:18.099 block58.bin: 620.28;4;48;0;1;63.00;-10.20;0;113;0;40;54;100.50;172.40;171.90;56;2510;127;0;0;0;0;0;0;1;0;0;0;1;0;
17:41:18.156 block59.bin: 620.30;4;42;0;1;74.00;-10.00;0;113;0;40;54;100.60;172.90;172.40;56;2210;126;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:18.218 block60.bin: 620.33;4;35;0;1;93.00;-10.20;0;113;0;40;54;100.60;173.00;172.50;56;1836;125;0;0;0;0;0;0;1;0;0;0;1;0;
17:41:18.252 block61.bin: 620.34;4;29;0;1;113.00;2.40;0;113;0;40;54;100.60;173.10;172.50;56;1500;126;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:18.325 block62.bin: 620.36;4;25;0;1;84.00;-7.30;0;113;0;40;54;100.50;172.60;172.30;56;1327;126;0;0;0;0;0;0;1;0;0;0;1;0;
17:41:18.361 block63.bin: 620.37;4;20;0;1;15.20;-3.90;0;113;2;40;54;100.60;172.70;172.30;56;1050;125;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:18.425 block64.bin: 620.38;4;18;0;1;25.00;3.20;0;113;6;40;54;100.50;172.50;172.10;56;955;126;0;0;0;0;0;0;1;0;0;0;1;0;
17:41:18.471 block65.bin: 620.39;4;20;0;1;121.00;30.30;0;113;31;40;54;100.40;172.30;172.00;56;1036;125;0;0;0;0;0;0;1;0;0;0;1;0;
17:41:18.531 block66.bin: 620.40;4;27;0;1;123.00;19.80;0;113;31;40;54;100.10;171.00;170.20;56;1419;126;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:18.602 block67.bin: 620.42;4;31;0;1;18.00;3.30;0;113;4;40;54;100.30;171.60;171.30;56;1621;125;0;0;0;0;0;0;1;0;0;0;1;0;
17:41:18.655 block68.bin: 620.44;4;29;0;1;19.00;3.80;0;113;4;40;54;100.40;172.10;171.70;56;1531;126;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:18.692 block69.bin: 620.45;4;29;0;1;33.00;5.80;0;113;8;40;54;100.40;172.10;171.80;56;1493;127;0;0;0;0;0;0;0;0;0;0;1;0;
17:41:18.747 block70.bin: 620.47;4;29;0;1;125.00;18.80;0;113;31;40;54;100.40;172.10;171.80;56;1493;127;0;0;0;0;0;0;0;0;0;0;1;0;
